50 2450
9 34 7784
9 35 23880
9 36 9840
9 37 207
9 38 15004
9 39 13099
9 40 5514
9 41 4219
9 42 26354
9 43 17758
9 44 7572
9 45 12209
9 46 2450
9 47 27127
9 48 25247
9 49 16209
9 50 22701
10 1 13300
10 2 19196
10 3 28279
10 4 24766
10 5 28789
10 6 22434
10 7 16720
10 8 16399
10 9 1064
10 11 23505
10 12 31277
10 13 15231
10 14 15620
10 15 22517
10 16 6358
10 17 4228
10 18 27706
10 19 31693
10 20 25633
10 21 10348
10 22 23656
10 23 5068
10 24 12739
10 25 4328
10 26 30736
10 27 26048
10 28 24677
10 29 24010
10 30 13386
10 31 16561
10 32 14331
10 33 22542
10 34 5045
10 35 17420
10 36 9297
10 37 7703
10 38 21939
10 39 8705
10 40 32230
10 41 6460
10 42 9686
10 43 24873
10 44 21758
10 45 27779
10 46 24469
10 47 24940
10 48 29427
10 49 16556
10 50 14916
11 1 10274
11 2 1484
11 3 4466
11 4 28995
11 5 14200
11 6 10768
11 7 24589
11 8 15477
11 9 29973
11 10 18141
11 12 28411
11 13 11507
11 14 25598
11 15 28724
11 16 27392
11 17 16898
11 18 13751
11 19 17303
11 20 9580
11 21 19011
11 22 30380
11 23 29398
11 24 17308
11 25 25898
11 26 22991
11 27 28966
11 28 1987
11 29 14513
11 30 26497
11 31 30323
11 32 5867
11 33 12110
11 34 5046
11 35 19703
11 36 24630
11 37 21026
11 38 32596
11 39 7436
11 40 2410
11 41 4979
11 42 26845
11 43 11070
11 44 1196
11 45 7516
11 46 4174
11 47 15525
11 48 13196
11 49 30915
11 50 4679
12 1 5490
12 2 15170
12 3 8332
12 4 32363
12 5 17863
12 6 28215
12 7 21772
12 8 11530
12 9 14540
12 10 28360
12 11 17345
12 13 6142
12 14 14847
12 15 28486
12 16 22336
12 17 15058
12 18 25803
12 19 13121
12 20 17262
12 21 15914
12 22 12893
12 23 13830
12 24 8691
12 25 29278
12 26 6579
12 27 6758
12 28 13036
12 29 23913
12 30 30197
12 31 18361
12 32 5600
12 33 24578
12 34 9993
12 35 22563
12 36 3830
12 37 13832
12 38 8290
12 39 15382
12 40 11365
12 41 22051
12 42 23064
12 43 14104
12 44 24619
12 45 29865
12 46 22590
12 47 6599
12 48 25090
12 49 11710
12 50 15472
13 1 23834
13 2 28048
13 3 6848
13 4 5547
13 5 745
13 6 12510
13 7 22242
13 8 25185
13 9 24496
13 10 32523
13 11 14102
13 12 30925
13 14 12688
13 15 6978
13 16 14641
13 17 18821
13 18 10390
13 19 12265
13 20 28233
13 21 12366
13 22 17472
13 23 17947
13 24 25698
13 25 18227
13 26 10813
13 27 20825
13 28 21322
13 29 28633
13 30 23157
13 31 9084
13 32 4290
13 33 1805
13 34 25673
13 35 23790
13 36 4062
13 37 30367
13 38 284
13 39 11546
13 40 28591
13 41 6515
13 42 14354
13 43 30497
13 44 23839
13 45 9685
13 46 28439
13 47 11983
13 48 19483
13 49 4621
13 50 3364
14 1 461
14 2 19448
14 3 10035
14 4 4541
14 5 8472
14 6 31503
14 7 13893
14 8 17855
14 9 16049
14 10 23979
14 11 9079
14 12 26968
14 13 5015
14 15 7206
14 16 15306
14 17 855
14 18 498
14 19 27726
14 20 2272
14 21 13734
14 22 10129
14 23 10765
14 24 5903
14 25 15124
14 26 29846
14 27 25418
14 28 25012
14 29 29272
14 30 6768
14 31 23306
14 32 22986
14 33 6739
14 34 26378
14 35 18395
14 36 15035
14 37 9110
14 38 24642
14 39 20850
14 40 8565
14 41 15140
14 42 13213
14 43 4499
14 44 6593
14 45 29305
14 46 20025
14 47 7217
14 48 5584
14 49 10443
14 50 12547
15 1 21207
15 2 1047
15 3 6543
15 4 21801
15 5 1862
15 6 30558
15 7 13375
15 8 13523
15 9 12640
15 10 5395
15 11 8539
15 12 19470
15 13 15428
15 14 15843
15 16 6318
15 17 9736
15 18 11963
15 19 9356
15 20 27858
15 21 19075
15 22 13011
15 23 18156
15 24 28662
15 25 8068
15 26 16585
15 27 32094
15 28 5599
15 29 4939
15 30 28972
15 31 5191
15 32 30509
15 33 8840
15 34 14912
15 35 9196
15 36 6624
15 37 3788
15 38 7329
15 39 6791
15 40 8986
15 41 22846
15 42 808
15 43 11417
15 44 22054
15 45 21903
15 46 23058
15 47 8065
15 48 1210
15 49 26928
15 50 8543
16 1 8782
16 2 21625
16 3 19138
16 4 32377
16 5 10450
16 6 32188
16 7 21966
16 8 4374
16 9 31991
16 10 26514
16 11 18102
16 12 3935
16 13 31319
16 14 17670
16 15 29419
16 17 27986
16 18 10246
16 19 6048
16 20 20833
16 21 4965
16 22 9394
16 23 15150
16 24 26432
16 25 26732
16 26 6383
16 27 24259
16 28 27869
16 29 12988
16 30 9164
16 31 3841
16 32 16104
16 33 5265
16 34 30122
16 35 13716
16 36 28647
16 37 10157
16 38 3406
16 39 12799
16 40 3554
16 41 31810
16 42 19252
16 43 28571
16 44 28768
16 45 32530
16 46 20262
16 47 7388
16 48 8851
16 49 2773
16 50 21518
17 1 26583
17 2 15824
17 3 10459
17 4 32265
17 5 25601
17 6 18498
17 7 17650
17 8 20156
17 9 32058
17 10 27614
17 11 22666
17 12 13291
17 13 7178
17 14 6553
17 15 20759
17 16 25671
17 18 24362
17 19 27865
17 20 13751
17 21 32392
17 22 3654
17 23 25386
17 24 20501
17 25 7868
17 26 10753
17 27 15411
17 28 23693
17 29 24031
17 30 15674
17 31 5608
17 32 1425
17 33 28587
17 34 21389
17 35 6401
17 36 11851
17 37 21169
17 38 14621
17 39 18858
17 40 20611
17 41 18089
17 42 26513
17 43 20604
17 44 29124
17 45 32007
17 46 17501
17 47 20396
17 48 29626
17 49 14287
17 50 5187
18 1 6274
18 2 17375
18 3 19113
18 4 18457
18 5 21773
18 6 11863
18 7 12856
18 8 1740
18 9 31254
18 10 22551
18 11 13736
18 12 6309
18 13 5458
18 14 9293
18 15 18054
18 16 6091
18 17 19419
18 19 2300
18 20 4821
18 21 2570
18 22 7393
18 23 5863
18 24 32094
18 25 18386
18 26 15517
18 27 14513
18 28 28743
18 29 21635
18 30 7047
18 31 27970
18 32 15847
18 33 3047
18 34 28105
18 35 365
18 36 985
18 37 18688
18 38 18163
18 39 3279
18 40 17487
18 41 27141
18 42 7664
18 43 13818
18 44 10665
18 45 21927
18 46 19769
18 47 467
18 48 10311
18 49 26008
18 50 25416
19 1 12856
19 2 29339
19 3 23118
19 4 22352
19 5 30694
19 6 29570
19 7 15365
19 8 30251
19 9 31642
19 10 17108
19 11 19715
19 12 7060
19 13 631
19 14 18489
19 15 28959
19 16 2966
19 17 12712
19 18 63
19 20 11908
19 21 68
19 22 13638
19 23 6058
19 24 11187
19 25 16299
19 26 20092
19 27 20748
19 28 20167
19 29 19973
19 30 3305
19 31 26773
19 32 25085
19 33 4144
19 34 14149
19 35 27179
19 36 24947
19 37 29278
19 38 10056
19 39 11709
19 40 22064
19 41 26381
19 42 7367
19 43 28117
19 44 25189
19 45 21050
19 46 19489
19 47 11373
19 48 25330
19 49 13521
19 50 11225
20 1 23044
20 2 18988
20 3 11369
20 4 17796
20 5 29425
20 6 6110
20 7 6958
20 8 3558
20 9 1782
20 10 4750
20 11 3102
20 12 2136
20 13 24344
20 14 9729
20 15 10105
20 16 14700
20 17 13742
20 18 2817
20 19 19314
20 21 11476
20 22 13497
20 23 7261
20 24 7467
20 25 4736
20 26 11891
20 27 32050
20 28 9696
20 29 14087
20 30 17451
20 31 29801
20 32 20579
20 33 23368
20 34 28495
20 35 8577
20 36 23240
20 37 12113
20 38 8395
20 39 28302
20 40 4193
20 41 29824
20 42 27281
20 43 25474
20 44 24557
20 45 2791
20 46 26489
20 47 16044
20 48 8716
20 49 28149
20 50 21836
21 1 30334
21 2 9206
21 3 25683
21 4 5403
21 5 2195
21 6 19053
21 7 26381
21 8 1494
21 9 14833
21 10 24816
21 11 1010
21 12 27930
21 13 11403
21 14 26930
21 15 16189
21 16 25161
21 17 28170
21 18 32458
21 19 14453
21 20 28640
21 22 25548
21 23 9004
21 24 5777
21 25 24325
21 26 14381
21 27 1496
21 28 32608
21 29 24928
21 30 11526
21 31 7377
21 32 7720
21 33 3372
21 34 30580
21 35 8529
21 36 32142
21 37 24462
21 38 2267
21 39 17595
21 40 14517
21 41 14629
21 42 26922
21 43 12753
21 44 18346
21 45 2274
21 46 1632
21 47 11815
21 48 27392
21 49 6426
21 50 7503
22 1 28631
22 2 31415
22 3 13017
22 4 8095
22 5 31607
22 6 7267
22 7 2938
22 8 15127
22 9 7752
22 10 9353
22 11 12404
22 12 26136
22 13 22704
22 14 10061
22 15 25975
22 16 5482
22 17 19691
22 18 31818
22 19 10424
22 20 32572
22 21 1533
22 23 14786
22 24 20873
22 25 3941
22 26 10987
22 27 27383
22 28 32044
22 29 28912
22 30 29226
22 31 1496
22 32 15849
22 33 20696
22 34 26968
22 35 25568
22 36 16478
22 37 15888
22 38 25898
22 39 16956
22 40 23319
22 41 19142
22 42 11686
22 43 3372
22 44 15454
22 45 21225
22 46 14994
22 47 31403
22 48 10836
22 49 3049
22 50 5164
23 1 14418
23 2 2369
23 3 16830
23 4 11291
23 5 12410
23 6 7209
23 7 25899
23 8 17062
23 9 10913
23 10 13216
23 11 20292
23 12 11300
23 13 19215
23 14 16094
23 15 24110
23 16 2739
23 17 13752
23 18 29462
23 19 20262
23 20 20525
23 21 22629
23 22 32004
23 24 31172
23 25 7256
23 26 8207
23 27 28870
23 28 20609
23 29 19293
23 30 7563
23 31 27628
23 32 19064
23 33 18556
23 34 23917
23 35 7634
23 36 6761
23 37 30973
23 38 30502
23 39 10798
23 40 22275
23 41 21354
23 42 5999
23 43 6629
23 44 30819
23 45 30459
23 46 2539
23 47 20003
23 48 20184
23 49 22354
23 50 1543
24 1 10666
24 2 22249
24 3 20584
24 4 17190
24 5 25706
24 6 3737
24 7 14024
24 8 6139
24 9 15698
24 10 12265
24 11 14331
24 12 10549
24 13 32359
24 14 29855
24 15 8003
24 16 27490
24 17 1811
24 18 18246
24 19 21132
24 20 31757
24 21 20671
24 22 1398
24 23 7071
24 25 5674
24 26 8612
24 27 14165
24 28 4505
24 29 9653
24 30 25053
24 31 24670
24 32 13979
24 33 16021
24 34 18113
24 35 19809
24 36 7620
24 37 31430
24 38 18545
24 39 971
24 40 11612
24 41 951
24 42 5549
24 43 13864
24 44 20818
24 45 19185
24 46 31212
24 47 25062
24 48 12777
24 49 13818
24 50 27051
25 1 31324
25 2 17070
25 3 16761
25 4 10501
25 5 17675
25 6 15789
25 7 24474
25 8 16516
25 9 19235
25 10 24292
25 11 5556
25 12 13367
25 13 1097
25 14 29688
25 15 7466
25 16 12548
25 17 7831
25 18 5159
25 19 2959
25 20 9280
25 21 2020
25 22 5246
25 23 17933
25 24 29053
25 26 7238
25 27 3148
25 28 17415
25 29 15011
25 30 7638
25 31 32214
25 32 25853
25 33 28227
25 34 22963
25 35 30540
25 36 23984
25 37 4135
25 38 7754
25 39 16380
25 40 135
25 41 28718
25 42 26324
25 43 26054
25 44 25906
25 45 17239
25 46 24607
25 47 16080
25 48 13197
25 49 21275
25 50 10898
26 1 13179
26 2 5575
26 3 14080
26 4 32108
26 5 25749
26 6 5571
26 7 19563
26 8 3916
26 9 464
26 10 27070
26 11 24757
26 12 26614
26 13 25714
26 14 29747
26 15 16770
26 16 32596
26 17 16975
26 18 31483
26 19 10062
26 20 19899
26 21 3316
26 22 22969
26 23 11849
26 24 12656
26 25 20774
26 27 13173
26 28 20837
26 29 19819
26 30 10891
26 31 26503
26 32 7085
26 33 17754
26 34 8102
26 35 19895
26 36 984
26 37 31465
26 38 31241
26 39 32162
26 40 9758
26 41 12353
26 42 28357
26 43 9568
26 44 20554
26 45 13262
26 46 11046
26 47 13155
26 48 5137
26 49 31046
26 50 6557
27 1 22434
27 2 21410
27 3 17383
27 4 29438
27 5 8183
27 6 31870
27 7 17920
27 8 28651
27 9 13254
27 10 25738
27 11 22962
27 12 11920
27 13 29408
27 14 32098
27 15 14072
27 16 8338
27 17 31655
27 18 20977
27 19 19173
27 20 5441
27 21 23666
27 22 575
27 23 5165
27 24 13333
27 25 29747
27 26 12681
27 28 10471
27 29 31576
27 30 18007
27 31 6807
27 32 18833
27 33 5920
27 34 17901
27 35 15946
27 36 9557
27 37 9344
27 38 23563
27 39 24693
27 40 13194
27 41 13567
27 42 11629
27 43 18157
27 44 18046
27 45 9801
27 46 25440
27 47 28388
27 48 15219
27 49 8741
27 50 31710
28 1 11378
28 2 27623
28 3 23207
28 4 25851
28 5 26741
28 6 17433
28 7 22183
28 8 26496
28 9 28827
28 10 8904
28 11 25202
28 12 9429
28 13 3517
28 14 26174
28 15 30910
28 16 11300
28 17 21615
28 18 19085
28 19 14308
28 20 27323
28 21 25557
28 22 32025
28 23 14153
28 24 31666
28 25 1720
28 26 2390
28 27 20765
28 29 6862
28 30 27352
28 31 723
28 32 13385
28 33 16038
28 34 25220
28 35 4216
28 36 21154
28 37 7684
28 38 25705
28 39 15628
28 40 32611
28 41 9358
28 42 15784
28 43 12537
28 44 20954
28 45 6822
28 46 10795
28 47 14676
28 48 8289
28 49 1166
28 50 18232
29 1 16408
29 2 10128
29 3 31952
29 4 5190
29 5 6578
29 6 12721
29 7 3549
29 8 30224
29 9 19395
29 10 21108
29 11 20212
29 12 28649
29 13 12577
29 14 2789
29 15 18501
29 16 1871
29 17 7967
29 18 27034
29 19 25175
29 20 1474
29 21 28686
29 22 31537
29 23 25767
29 24 3287
29 25 5891
29 26 7930
29 27 18322
29 28 12424
29 30 8411
29 31 5104
29 32 23924
29 33 3022
29 34 18045
29 35 20974
29 36 5906
29 37 882
29 38 29791
29 39 799
29 40 26421
29 41 11039
29 42 27468
29 43 12727
29 44 2456
29 45 189
29 46 24164
29 47 32224
29 48 12548
29 49 29178
29 50 12900
30 1 28663
30 2 24762
30 3 24617
30 4 16935
30 5 15097
30 6 29969
30 7 5712
30 8 19565
30 9 824
30 10 8032
30 11 25980
30 12 28380
30 13 32083
30 14 22814
30 15 23384
30 16 21060
30 17 31076
30 18 4680
30 19 18174
30 20 27687
30 21 11899
30 22 7939
30 23 13
30 24 31097
30 25 23116
30 26 10371
30 27 9212
30 28 5796
30 29 2340
30 31 9515
30 32 15790
30 33 6351
30 34 6690
30 35 7158
30 36 2886
30 37 3168
30 38 21411
30 39 14101
30 40 22076
30 41 31935
30 42 7166
30 43 27098
30 44 4529
30 45 26973
30 46 10866
30 47 11732
30 48 13055
30 49 3062
30 50 17500
31 1 6972
31 2 30869
31 3 21523
31 4 23213
31 5 24719
31 6 4866
31 7 15314
31 8 7068
31 9 23933
31 10 25679
31 11 23017
31 12 19608
31 13 25858
31 14 18834
31 15 21737
31 16 129
31 17 27347
31 18 8896
31 19 7104
31 20 32279
31 21 8187
31 22 3267
31 23 1922
31 24 27315
31 25 17094
31 26 460
31 27 19049
31 28 3381
31 29 9694
31 30 21483
31 32 20506
31 33 15677
31 34 12980
31 35 13789
31 36 29481
31 37 21150
31 38 27425
31 39 17957
31 40 11232
31 41 10511
31 42 11854
31 43 20574
31 44 7228
31 45 3108
31 46 17617
31 47 14543
31 48 7481
31 49 8061
31 50 30744
32 1 17984
32 2 12623
32 3 5950
32 4 14603
32 5 15884
32 6 61
32 7 21694
32 8 6637
32 9 1656
32 10 16389
32 11 15236
32 12 8067
32 13 17219
32 14 12088
32 15 21103
32 16 11641
32 17 8318
32 18 1139
32 19 1332
32 20 4609
32 21 16286
32 22 30506
32 23 6670
32 24 29885
32 25 31440
32 26 17828
32 27 12208
32 28 11487
32 29 29324
32 30 23623
32 31 22399
32 33 17039
32 34 6509
32 35 534
32 36 8190
32 37 8077
32 38 12864
32 39 11896
32 40 9097
32 41 13079
32 42 29787
32 43 27707
32 44 28487
32 45 3341
32 46 18992
32 47 28120
32 48 22106
32 49 13395
32 50 24097
33 1 14073
33 2 1368
33 3 15479
33 4 27030
33 5 32568
33 6 27135
33 7 24211
33 8 31309
33 9 12842
33 10 17188
33 11 6517
33 12 8690
33 13 12444
33 14 27885
33 15 7422
33 16 17392
33 17 14108
33 18 15680
33 19 1224
33 20 30086
33 21 3516
33 22 1147
33 23 9739
33 24 9245
33 25 25874
33 26 1638
33 27 29890
33 28 30169
33 29 1155
33 30 32614
33 31 17417
33 32 6254
33 34 11714
33 35 2547
33 36 26058
33 37 29237
33 38 22931
33 39 30795
33 40 28056
33 41 27007
33 42 12757
33 43 30312
33 44 6875
33 45 13865
33 46 27839
33 47 2096
33 48 11822
33 49 29040
33 50 28010
34 1 14317
34 2 11781
34 3 22535
34 4 19855
34 5 2300
34 6 24211
34 7 29287
34 8 13459
34 9 713
34 10 28907
34 11 5991
34 12 8128
34 13 26619
34 14 11621
34 15 32012
34 16 32726
34 17 28139
34 18 7491
34 19 19362
34 20 20418
34 21 2139
34 22 30612
34 23 26379
34 24 2221
34 25 7525
34 26 21849
34 27 25176
34 28 5944
34 29 13745
34 30 28903
34 31 20886
34 32 13830
34 33 31979
34 35 29836
34 36 28138
34 37 20860
34 38 9844
34 39 7285
34 40 16353
34 41 22724
34 42 2648
34 43 12239
34 44 17409
34 45 8216
34 46 3713
34 47 5421
34 48 15780
34 49 14397
34 50 12330
35 1 1578
35 2 11270
35 3 24397
35 4 16790
35 5 9807
35 6 5532
35 7 28346
35 8 12289
35 9 311
35 10 7591
35 11 27280
35 12 26071
35 13 13296
35 14 6154
35 15 5626
35 16 7460
35 17 17829
35 18 3928
35 19 12552
35 20 13899
35 21 29562
35 22 28978
35 23 17327
35 24 26364
35 25 29624
35 26 21712
35 27 6674
35 28 21856
35 29 29738
35 30 4061
35 31 22015
35 32 29590
35 33 22471
35 34 3464
35 36 14781
35 37 12131
35 38 30608
35 39 7128
35 40 4101
35 41 18981
35 42 27324
35 43 9023
35 44 21838
35 45 27913
35 46 6675
35 47 31859
35 48 1614
35 49 19838
35 50 8856
36 1 22649
36 2 14269
36 3 30186
36 4 19306
36 5 28418
36 6 23388
36 7 1691
36 8 4844
36 9 26363
36 10 22070
36 11 768
36 12 5924
36 13 11616
36 14 19493
36 15 32537
36 16 23905
36 17 11857
36 18 17561
36 19 16684
36 20 15649
36 21 9319
36 22 3221
36 23 11194
36 24 29233
36 25 29256
36 26 31226
36 27 945
36 28 6678
36 29 14969
36 30 29704
36 31 26339
36 32 8364
36 33 10612
36 34 25890
36 35 1719
36 37 24589
36 38 9723
36 39 31185
36 40 31518
36 41 30644
36 42 23467
36 43 20748
36 44 16841
36 45 7907
36 46 21460
36 47 439
36 48 15770
36 49 30273
36 50 4232
37 1 6505
37 2 19032
37 3 7368
37 4 24050
37 5 30834
37 6 14502
37 7 3038
37 8 19945
37 9 12061
37 10 17974
37 11 32450
37 12 4549
37 13 16434
37 14 26170
37 15 26922
37 16 9842
37 17 27839
37 18 28187
37 19 16683
37 20 1731
37 21 27928
37 22 31342
37 23 8280
37 24 22536
37 25 15133
37 26 8228
37 27 46
37 28 17634
37 29 20923
37 30 15872
37 31 5552
37 32 31318
37 33 1462
37 34 591
37 35 4174
37 36 31521
37 38 23461
37 39 30931
37 40 16395
37 41 15691
37 42 32574
37 43 13568
37 44 26335
37 45 17919
37 46 16339
37 47 27755
37 48 14682
37 49 14234
37 50 13853
38 1 5503
38 2 21131
38 3 1538
38 4 30521
38 5 24177
38 6 7968
38 7 17721
38 8 30960
38 9 4215
38 10 974
38 11 17970
38 12 2875
38 13 13109
38 14 17140
38 15 30179
38 16 2822
38 17 1144
38 18 25979
38 19 12955
38 20 12853
38 21 6183
38 22 11008
38 23 2966
38 24 10469
38 25 13431
38 26 17717
38 27 7887
38 28 15348
38 29 15965
38 30 25220
38 31 2325
38 32 23747
38 33 19017
38 34 19446
38 35 7265
38 36 20026
38 37 9489
38 39 6740
38 40 20583
38 41 8973
38 42 26923
38 43 18060
38 44 8555
38 45 28990
38 46 29728
38 47 6485
38 48 20822
38 49 24292
38 50 20541
39 1 15894
39 2 16137
39 3 27690
39 4 26252
39 5 32004
39 6 18417
39 7 7834
39 8 3331
39 9 24715
39 10 26587
39 11 29084
39 12 17658
39 13 18928
39 14 2826
39 15 12345
39 16 15843
39 17 14644
39 18 18055
39 19 7205
39 20 28725
39 21 19515
39 22 27321
39 23 1533
39 24 25769
39 25 14638
39 26 9269
39 27 15053
39 28 31657
39 29 18461
39 30 7895
39 31 27349
39 32 18693
39 33 4073
39 34 24338
39 35 28045
39 36 22505
39 37 31329
39 38 17796
39 40 1766
39 41 27404
39 42 21419
39 43 28878
39 44 4563
39 45 3369
39 46 26854
39 47 29090
39 48 13320
39 49 1459
39 50 31245
40 1 1310
40 2 32513
40 3 1477
40 4 798
40 5 18776
40 6 8775
40 7 8536
40 8 8316
40 9 8250
40 10 4847
40 11 26808
40 12 4754
40 13 13456
40 14 19555
40 15 13881
40 16 9402
40 17 21855
40 18 3685
40 19 1061
40 20 31581
40 21 7032
40 22 15440
40 23 24314
40 24 3419
40 25 3406
40 26 16801
40 27 18386
40 28 19629
40 29 13573
40 30 8119
40 31 6947
40 32 16969
40 33 23755
40 34 2263
40 35 20392
40 36 8517
40 37 25963
40 38 11379
40 39 8607
40 41 5440
40 42 27423
40 43 6316
40 44 32309
40 45 20478
40 46 11430
40 47 21781
40 48 17215
40 49 6738
40 50 26775
41 1 6842
41 2 10026
41 3 27713
41 4 9461
41 5 19809
41 6 23861
41 7 20580
41 8 5379
41 9 6671
41 10 18909
41 11 5774
41 12 4442
41 13 24270
41 14 23449
41 15 6575
41 16 22072
41 17 16302
41 18 23496
41 19 7416
41 20 31771
41 21 3338
41 22 19432
41 23 1088
41 24 24207
41 25 24332
41 26 8968
41 27 27559
41 28 25924
41 29 2675
41 30 32640
41 31 25209
41 32 25443
41 33 21140
41 34 8415
41 35 19797
41 36 290
41 37 31903
41 38 15909
41 39 13198
41 40 25495
41 42 10276
41 43 3123
41 44 31697
41 45 1737
41 46 4310
